iter	RMSE
0	0.4976073717
1	0.4610672962
2	0.4286429541
3	0.3999311375
4	0.3748183831
5	0.3533015738
6	0.3338949698
7	0.3165387522
8	0.3016457063
9	0.289041809
10	0.2782980362
11	0.2694667128
12	0.2622274417
13	0.2555775694
14	0.2494762031
15	0.2446737241
16	0.2401348396
17	0.2367643427
18	0.2334275747
19	0.230738307
20	0.228613808
21	0.226481839
22	0.2247662042
23	0.2234711623
24	0.2223244188
25	0.2212789183
26	0.2204621738
27	0.2196525685
28	0.218990066
29	0.2183984209
30	0.2178698866
31	0.2173747059
32	0.2170868122
33	0.2166932785
34	0.2163791929
35	0.21607704
36	0.215822744
37	0.2157153837
38	0.2155486128
39	0.2154547253
40	0.215296339
41	0.215175666
42	0.2149964376
43	0.2147989654
44	0.2145739804
45	0.2144172129
46	0.2143178617
47	0.2142442466
48	0.2141106942
49	0.214033523
50	0.2139238097
51	0.2138212641
52	0.2137126549
53	0.2136400231
54	0.2135676644
55	0.2135437116
56	0.2134890814
57	0.2134825667
58	0.213449745
59	0.2134112735
60	0.213358744
61	0.2132972133
62	0.2132106387
63	0.2131132351
64	0.2130919924
65	0.2130426241
66	0.2129825789
67	0.2129495519
68	0.2129090505
69	0.2128679781
70	0.2127834702
71	0.2127611397
72	0.2127307508
73	0.2126612131
74	0.2126140709
75	0.2125154057
76	0.2124886787
77	0.2124278029
78	0.212414262
79	0.212398074
80	0.2123349344
81	0.2122539853
82	0.2121943953
83	0.2121541516
84	0.2121184788
85	0.2120868649
86	0.2120584132
87	0.2120320699
88	0.2120002821
89	0.2119676852
90	0.211936985
91	0.2119115729
92	0.2118879677
93	0.2118636504
94	0.2118419735
95	0.2117901264
96	0.2117704192
97	0.2117550177
98	0.2117244423
99	0.211679714
