iter	Passed	Remaining
0	1	105
1	2	108
2	3	109
3	4	107
4	5	102
5	6	100
6	7	97
7	8	92
8	9	91
9	10	90
10	11	89
11	11	87
12	12	86
13	13	85
14	14	83
15	15	83
16	17	83
17	18	82
18	19	81
19	20	81
20	21	79
21	22	78
22	23	77
23	23	75
24	25	76
25	26	75
26	27	74
27	28	73
28	29	71
29	30	70
30	31	69
31	32	68
32	32	66
33	33	64
34	34	64
35	35	63
36	36	62
37	36	60
38	37	59
39	38	57
40	39	56
41	40	55
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	68	26
72	70	25
73	71	24
74	72	24
75	73	23
76	74	22
77	75	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	94	0
